Area name,Mother tongue name,Persons
PUNJAB,MIRI/MISHING,1
PUNJAB,MISHMI,1
PUNJAB,MOGH,5
PUNJAB,MONPA,4
PUNJAB,MUNDA,260
PUNJAB,MUNDARI,548
PUNJAB,NISSI/DAFLA,533
PUNJAB,NOCTE,14
PUNJAB,PAITE,27
PUNJAB,POCHURY,4
PUNJAB,RABHA,5
PUNJAB,RENGMA,1
PUNJAB,SAVARA,7
PUNJAB,SEMA,4
PUNJAB,SHINA,4
PUNJAB,TANGKHUL,18
PUNJAB,THADO,17
PUNJAB,TIBETAN,436
PUNJAB,TRIPURI,95
PUNJAB,TULU,4
PUNJAB,VAIPHEI,4
PUNJAB,WANCHO,5
PUNJAB,YIMCHUNGRE,6
PUNJAB,ZEMI,1
PUNJAB,ZOU,17
CHANDIGARH,ASSAMESE,435
CHANDIGARH,BENGALI,6236
CHANDIGARH,BODO,6
CHANDIGARH,DOGRI,1047
CHANDIGARH,GUJARATI,1573
CHANDIGARH,HINDI,776775
CHANDIGARH,KANNADA,425
CHANDIGARH,KASHMIRI,1330
CHANDIGARH,KONKANI,86
CHANDIGARH,MAITHILI,3164
CHANDIGARH,MALAYALAM,1979
CHANDIGARH,MANIPURI,460
CHANDIGARH,MARATHI,1252
CHANDIGARH,NEPALI,6546
CHANDIGARH,ODIA,1942
CHANDIGARH,PUNJABI,232516
CHANDIGARH,SANSKRIT,13
CHANDIGARH,SANTALI,42
CHANDIGARH,SINDHI,134
CHANDIGARH,TAMIL,5579
CHANDIGARH,TELUGU,1339
CHANDIGARH,URDU,10595
CHANDIGARH,ADI,2
CHANDIGARH,AFGHANI/KABULI/PASHTO,20
CHANDIGARH,ANGAMI,2
CHANDIGARH,AO,4
CHANDIGARH,ARABIC/ARBI,47
CHANDIGARH,BALTI,2
CHANDIGARH,BHILI/BHILODI,2
CHANDIGARH,BHOTIA,54
CHANDIGARH,BISHNUPURIYA,4
CHANDIGARH,COORGI/KODAGU,6
CHANDIGARH,ENGLISH,436
